kind,area,info
l01,リクワイア-キャルド星(緑の島),1：海藻/2：白魚/3：藻/4：小魚/5：貝/6：タコ
l02,リクワイア-キャルド星(聖地の島),1：白魚/2：小魚/3：巻貝/4：イカ/5：青魚/6：赤魚
l03,ティアース-水の領域,1：アンギラ/2：フランダ/3：海藻/4：ホエイル/5：タコ/6：イカ
l04,ミステラン-セイクリッド湖,1：藻/2：水魚/3：海藻/4：黒魚/5：小魚/6：カウド
l05,ディーワ・クアエダム-集落近辺の湖,1：緑魚/2：赤魚/3：巻貝/4：白魚/5：貝/6：藻
l06,ディヴェロプ-エルフ領池,1：白魚/2：藻/3：巻貝/4：緑魚/5：小魚/6：水魚
l07,ジャルダン-アレゴ近郊の川,1：ウクイ/2：ヤマメ/3：小魚/4：藻/5：ニジマス/6：青魚
l11,リクワイア-キャルド星(エットサン),1：イカ/2：赤魚/3：海藻/4：巻貝/5：白魚/6：タコ
l21,リクワイア-タマクレス星(丸の六島),1：緑魚/2：ヤマメ/3：海藻/4：赤魚/5：白魚/6：小魚
l22,リクワイア-キャルド星(わき水の大陸),1：小魚/2：貝/3：水魚/4：青魚/5：藻/6：白魚
l31,リクワイア-ワークレス星(遊星の砂浜),1：黄魚/2：海藻/3：青魚/4：貝/5：ウニ/6：シャケ
