kind,area,info
l01,リクワイア-キャルド星(聖なる森),1-9：リトルドラクス/10-80：雑草/81-95：木材/96-99：清水/100：レーベンの水
l02,ティアース-風の領域,1-5：薬草/6-9：石ころ/10-80：雑草/81-95：木材の欠片/96-100：清水
l03,ミステラン-小さな森,1：魔法水/2-9：薬草/10-80：種(1d5)/81-95：食用キノコ/96-99：清水/100：魔法水
l04,ディーワ・クアエダム-集落外れの森,1-9：清水/10-69：雑草/70-95：花の種/96-99：木材/100：清水
l05,ディヴェロプ-エルフの森外れ,1-9：魔力の泉水/10-50：石ころ/51-89：薬草/90-95：木材/96-99：清水/100：魔鉱石の欠片
l06,ジャルダン-草原,1-5：清水/6-50：雑草/51-89：石ころ/90-95：木材/96-99：銅鉱石/100：鉄鉱石
l11,リクワイア-キャルド星(わき水の洞窟),1-10：水石のかけら/11-70：清水/71-95：石ころ/96-100：レーベンの水
l12,リクワイア-ヤマイカ星(モンスーの森),1-5：ドラクス/6-10：リトルドラクス/11-80：雑草/81-95：木材/96-100：清水
l13,ジャルダン-集落外れの海岸,1-9：清水/10-50：雑草/51-89：石ころ/90-95：木材/96-100：白い貝殻
l21,リクワイア-キャルド星(危機の森),1-9：ドラクス/10-70：木材の欠片/71-89：食用キノコ/90-99：土石のかけら/100：レーベンの水
l31,リクワイア-ヒウラ星(グリーズの森),1-5：レーベンの水/6-30：ドラクス/31-80：薬草/81-95：清水/96-100：キュレブ水
